"mz","rt","TRb_DMSO_1.mzXML","TRb_DMSO_2.mzXML","TRb_DMSO_3.mzXML","TRb_Dust_1.mzXML","TRb_Dust_2.mzXML","TRb_Dust_3.mzXML","TRb_Sludge_1.mzXML","TRb_Sludge_2.mzXML","TRb_Sludge_3.mzXML","WT_DMSO_1.mzXML","WT_DMSO_2.mzXML","WT_DMSO_3.mzXML","WT_Dust_1.mzXML","WT_Dust_2.mzXML","WT_Dust_3.mzXML","WT_Sludge_1.mzXML","WT_Sludge_2.mzXML","WT_Sludge_3.mzXML","SampleID","ID","TRb Dust fc1","TRb Dust pvalue1","TRb Dust fc2","TRb Dust pvalue2","avg","change"
170.130884806315,4.06995,47751.80859375,66446.171875,52014.78125,373864.125,231358.546875,266454.78125,50017.02734375,53718.8125,63483.32421875,22309.189453125,53824.65625,57219.0703125,67463.375,24364.333984375,37607.12890625,65405.96484375,36217.05078125,64462.96484375,4,206,6.73448869972383,0.0214792238483717,5.24434732995997,0.0298489905711428,290559.151041667,"up"
170.632639567057,4.06995,14952.5986328125,17471.55078125,5308.4150390625,100960.296875,51574.203125,64781.6875,14074.265625,14848.7646484375,11501.6591796875,100,13651.5908203125,14012.7451171875,100,100,100,20107.1953125,100,26413.05078125,4,207,724.387291666667,0.0392089205731483,5.75938027668305,0.0484835649021538,72438.7291666667,"up"
199.042831420898,1.03705333333333,100,15152.4169921875,100,53670.98046875,49967.015625,29794.89453125,100,100,11586.64453125,100,100,100,100,100,100,100,100,161464.046875,18,628,444.776302083333,0.0268278801842322,8.69132793181041,0.0156187282140513,44477.6302083333,"up"
209.442306518555,5.71745,100,100,100,110487.5078125,82298.4375,60753.1953125,249145.125,238871.9375,486512.65625,100,100,100,100,100,40280.61328125,100,100,100,9,830,6.26322380205725,0.0227306628140234,845.13046875,0.0278880751112048,84513.046875,"up"
233.165323893229,4.54681666666667,24373.412109375,16436.8828125,12672.927734375,91648.8671875,130465.9765625,82231.84375,12407.87890625,15380.607421875,19966.34375,100,100,17262.203125,100,100,100,100,100,100,5,1314,1014.48895833333,0.0205606897206234,5.69050764678322,0.0247909992334747,101448.895833333,"up"
251.20182800293,5.2053,100,100,16887.8203125,321193.875,212414.1875,156355.875,1077141,633446,1025003.6875,100,28107.294921875,100,100,100,100,100,100,100,7,1719,2299.87979166667,0.0415633170088194,40.3775276707048,0.0419153102824679,229987.979166667,"up"
258.036305745443,3.47841666666667,14088.9912109375,12987.7421875,19743.951171875,139558.125,158914.046875,127932.8046875,123825.0546875,148565.9375,172277.765625,54125.6640625,277275.25,17878.888671875,44396.5078125,100,100,30012.283203125,35526.73828125,53956.16015625,11,1888,9.56139835781004,0.00367896363009078,9.10719226930889,0.00352293209603819,142134.9921875,"up"
279.233378092448,5.71745,4697981,3604454.25,2284871.75,25787700,19539708,16791966,61140884,58380408,119725168,2899359.5,2587697.25,3184609,2261499,2142879,6578251,2004318.875,1831098.375,1955028.625,9,2470,5.65614790411294,0.0101946185671239,5.86734416976857,0.0178974278083791,20706458,"up"
280.236673990885,5.71745,808870.75,811960.75,439887.21875,4902406,3425413.5,3369102.75,342827,11337883,22797980,463207.71875,347839.28125,535493.25,352057.1875,308424.78125,1209840.375,322986.09375,301556.40625,326084.375,9,2492,6.25396060154404,0.00909257371303815,5.6761372348261,0.0187610015163044,3898974.08333333,"up"
281.239898681641,5.71745,83328.3515625,35252.390625,41538.4453125,413564.09375,341500.875,265333.5625,1178305.125,1116453.375,2180138.5,35692.90625,30672.376953125,55390.41796875,42965.03515625,100,71931.65625,35356.81640625,49619.60546875,35150.625,9,2546,8.8732859943355,0.0087827509790186,6.37274362418308,0.0136634218245956,340132.84375,"up"
308.268239339193,6.17218333333333,100,100,100,48692.8125,34877.70703125,75156.6015625,311310.03125,239092.8125,615991.5,100,100,100,100,100,100,100,100,100,9,3413,529.090403645833,0.0466006601793382,529.090403645833,0.0466006601793382,52909.0403645833,"up"
327.233418782552,5.79545,100,100,25711.67578125,147383.765625,177845.0625,107904.5625,230180.109375,279137.28125,554803,59826.42578125,65056.23828125,34592.76171875,43885.640625,100,100,38144.8515625,100,47027.05078125,9,4109,9.82481788819418,0.00844579821628439,16.7157614305448,0.0116700083008353,144377.796875,"up"
334.208831787109,5.71745,100,100,100,71034.484375,37317.23828125,50092.5078125,170536.734375,169649.828125,380048.9375,100,100,100,100,100,100,100,100,100,9,4366,528.147434895833,0.0330458651434937,528.147434895833,0.0330458651434937,52814.7434895833,"up"
354.219655354818,6.09248333333333,47387.25390625,111811.3203125,28458.076171875,392997,321626,246279.3125,678715.625,887782.125,1700939.25,50591.30078125,87190.6015625,48881.14453125,61585.390625,100,45013.765625,77022.1796875,54343.19921875,75587.59375,9,5014,9.0057161300186,0.0112834156108295,5.12053428695328,0.0110255701450974,320300.770833333,"up"
426.918141682943,4.29145,100,100,100,33405.0703125,23499.75390625,20673.427734375,8606.25,65015.765625,407109.03125,51523.02734375,100,100,100,100,100,100,100,100,9,7353,258.594173177083,0.0217258053536171,258.594173177083,0.0217258053536171,25859.4173177083,"up"
437.062520345052,0.438658333333333,7198.177734375,11983.279296875,100,48252.5625,56990.34765625,25393.28125,93560.921875,85953.828125,159205.96875,100,100,100,100,100,100,100,100,20290.19140625,9,7688,435.453971354167,0.0439377690952983,6.7752240504711,0.0455552474836174,43545.3971354167,"up"
536.504353841146,9.53283333333333,100,100,100,98886.359375,115360.3203125,146674.875,336695.375,501989.40625,849588.8125,100,100,100,100,100,100,396781.8125,337992.03125,335511.9375,9,10108,1203.07184895833,0.0133229114909573,1203.07184895833,0.0133229114909573,120307.184895833,"up"
536.504353841146,9.53283333333333,100,100,100,98886.359375,115360.3203125,146674.875,336695.375,501989.40625,849588.8125,100,100,100,100,100,100,396781.8125,337992.03125,335511.9375,9,10109,1203.07184895833,0.0133229114909573,1203.07184895833,0.0133229114909573,120307.184895833,"up"
551.811564127604,2.95598333333333,100,100,23002.84375,203107.015625,214117,190851.3125,21538.38671875,23662.509765625,100,210586.890625,19641.64453125,100,30734.228515625,100,43648.984375,57420.28125,70570.7109375,100,5,10363,8.16392452105858,0.00116350617834506,26.2069311277847,4.91805477394395e-05,202691.776041667,"up"
694.637919108073,11.256,100,100,100,114849.0546875,78290.109375,90941.6875,101211.671875,100,69153.4765625,100,100,100,100,100,100,100,58187.2890625,100,4,12063,946.936171875,0.0125986566952448,946.936171875,0.0125986566952448,94693.6171875,"up"
712.618082682292,3.12225,100,21144.14453125,100,94756.6171875,118066.5859375,54911.9453125,100,100,49633.9921875,34896.734375,100,100,100,100,100,100,100,100,5,12217,892.450494791667,0.0402174059651738,12.5437282363558,0.0339509500179054,89245.0494791667,"up"
