"mz","rt","TRb_DMSO_1.mzXML","TRb_DMSO_2.mzXML","TRb_DMSO_3.mzXML","TRb_Dust_1.mzXML","TRb_Dust_2.mzXML","TRb_Dust_3.mzXML","TRb_Sludge_1.mzXML","TRb_Sludge_2.mzXML","TRb_Sludge_3.mzXML","WT_DMSO_1.mzXML","WT_DMSO_2.mzXML","WT_DMSO_3.mzXML","WT_Dust_1.mzXML","WT_Dust_2.mzXML","WT_Dust_3.mzXML","WT_Sludge_1.mzXML","WT_Sludge_2.mzXML","WT_Sludge_3.mzXML","SampleID","ID","PrimaryIso","SMILES","Adducts","LOGP","formula","mserror","isoscore","ms1score","ionmodescore","adductscore","MS2score","allscore","rtscore","Final","fragments"
233.165323893229,4.54681666666667,24373.412109375,16436.8828125,12672.927734375,91648.8671875,130465.9765625,82231.84375,12407.87890625,15380.607421875,19966.34375,100,100,17262.203125,100,100,100,100,100,100,5,"4043",233.165323893229,"CCN(CC)CC(=O)NC1=C(C=CC=C1C)C","[M-H]-","0","C14H22N2O","-2.59218120746736","-0.00145564762116581","-4.60648009698487","-0.5","0","0","0","0","","0"
251.20182800293,5.2053,100,100,16887.8203125,321193.875,212414.1875,156355.875,1077141,633446,1025003.6875,100,28107.294921875,100,100,100,100,100,100,100,7,"109",251.20182800293,"CC=CCC=CCCCCCCCCOC(=O)C","[M-H]-","0","C16H28O2","0.728111459769726","0.00832505314550941","-0.981724616001322","-0.5","0","0","0","0","",";154.964492797852,2688.59130859375;159.953796386719,2298.44873046875;165.004318237305,3765.2919921875;171.323318481445,2506.12573242188;202.115188598633,2020.21337890625;224.973663330078,2566.5068359375;237.892364501953,2124.62426757812"
279.233378092448,5.71745,4697981,3604454.25,2284871.75,25787700,19539708,16791966,61140884,58380408,119725168,2899359.5,2587697.25,3184609,2261499,2142879,6578251,2004318.875,1831098.375,1955028.625,9,"4058",279.233378092448,"CCCCCC=CCC=CCCCCCCCC(=O)O","[M-H]-","0","C18H32O2","1.54993092475093","0.00993063034580543","-4.79683124324932","0","0","0.00943935227590041","-6.15267412121788","-1.82781049176358","",";51.7287940979004,23702.484375;57.8399085998535,20621.919921875;62.8709297180176,22241.896484375;67.387565612793,20542.267578125;78.7608413696289,20320.26953125;99.7249069213867,22640.220703125;203.139755249023,32009.548828125;225.595031738281,26444.32421875;229.603713989258,24920.931640625;261.222290039062,47312.1171875"
327.233418782552,5.79545,100,100,25711.67578125,147383.765625,177845.0625,107904.5625,230180.109375,279137.28125,554803,59826.42578125,65056.23828125,34592.76171875,43885.640625,100,100,38144.8515625,100,47027.05078125,9,"1487;5051;5191",327.233418782552,"CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O;CCCOC1=CC2=C(C=C1)C3CCC4(C(C3CC2)CCC4OC)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C","[M-H]-;[M-H]-;[M-H]-","0","C22H32O2;C22H32O2;C22H32O2","1.44692603163357;1.44692603163357;1.44692603163357","0.00902239648060071","-3.67232916030256","0;-0.5;-0.5","0;0;0","0","-6.32299670648571;-0.16761895963984;-0.995145601691427","-2.65066754618315;-0.16761895963984;-0.995145601691427","","0"
354.219655354818,6.09248333333333,47387.25390625,111811.3203125,28458.076171875,392997,321626,246279.3125,678715.625,887782.125,1700939.25,50591.30078125,87190.6015625,48881.14453125,61585.390625,100,45013.765625,77022.1796875,54343.19921875,75587.59375,9,"6770",353.216278076172,"CCN(C(C)C)C(=O)C1=CC(=CC(=C1)C)OCC(C)NC2=CC=NC=C2","[M-H]-","0","C21H29N3O2","2.71965376038795","-4.60460777722536","-9.73915210442219","-0.5","0","0","0","0","",";55.7094459533691,3865.48803710938;59.5093612670898,2994.30102539062;65.8515243530273,3989.61889648438;85.5575256347656,4320.583984375;108.571884155273,4132.99169921875;111.660743713379,3586.36987304688;119.049224853516,8224.8583984375;123.464828491211,4820.17822265625;170.003616333008,9770.771484375;173.978973388672,4685.2314453125;183.01139831543,313868.75;184.014724731445,38017.5;185.006759643555,23038.375;225.058242797852,8379.115234375;283.256103515625,4290.8154296875;318.366394042969,4021.08251953125;326.460021972656,5461.03662109375"
277.21772257487,5.45005,250487.90625,224067.625,130308.609375,2790486.75,1879600.625,1738417.5,7049748,5586751.5,11062005,699877.4375,461482.65625,508070.875,508361.125,398543.5,1032949.5625,451925.15625,334854.90625,269991.78125,9,"3640;4059",277.21772257487,"CCCCCC=CCC=CCC=CCCCCC(=O)O;CCC=CCC=CCC=CCCCCCCCC(=O)O","[M-H]-;[M-H]-","0","C18H30O2;C18H30O2","1.54165781988899;1.54165781988899","0.00992309571245369","-4.81963284399568","0;0","0;0","0;0","-6.72442184424639;-6.72442184424639","-1.90478900025071;-1.90478900025071","",";60.6338272094727,3169.04345703125;60.7534217834473,3427.21362304688;64.2545318603516,2808.44604492188;67.0121994018555,2647.79833984375;69.4492340087891,3187.15209960938;83.0489044189453,3229.77026367188;89.0454864501953,6288.3193359375;165.287307739258,3078.65234375;170.969024658203,4602.8642578125;196.965591430664,8187.3681640625;210.062927246094,3461.24560546875;231.291778564453,3652.568359375;265.217407226562,5480.85693359375"
297.24375406901,5.13975,598507.75,743407.375,955117.5625,1190315.625,1152268.375,805496.125,5522082.5,3576572.25,5034738.5,663350.875,594217.5,707645.9375,687492.3125,622061.9375,626033.0625,568719.875,584764.4375,720421.375,7,"92",297.24375406901,"CCCCCCC(CC=CCCCCCCCC(=O)O)O","[M-H]-","0","C18H34O3","0.82144370428795","0.00993512551726095","-0.980114543629571","0","0","7.22193697316817e-07","-2.12539453040369","-1.14531609645899","",";51.7189140319824,2713.5576171875;52.9925842285156,2880.86401367188;53.3261108398438,3439.53588867188;54.8595542907715,2891.6171875;57.5320091247559,3206.7490234375;59.9815483093262,3338.48754882812;66.882942199707,3366.40356445312;70.6898574829102,3172.42993164062;73.8043365478516,3837.1884765625;78.2317733764648,3324.13989257812;101.819923400879,3952.35131835938;103.603889465332,3951.9345703125;138.873352050781,3640.19580078125;184.019027709961,213518.703125;185.02229309082,14773.3935546875;186.013931274414,8729.4619140625;207.77180480957,3927.55078125;208.826156616211,3968.23266601562;216.009033203125,64190.390625;217.011001586914,7147.84228515625;218.890197753906,4031.32543945312;253.250579833984,5039.5908203125"
299.259684244792,5.29201666666667,279148.40625,312636.125,299165.21875,840478.8125,555610.1875,540796.75,41591904,23176722,42172968,982559.0625,69646.4375,614296.3125,639114.625,584295.875,553704,933706.125,1250964.5,1685681.375,9,"403",299.259684244792,"CCCCCCC(CCCCCCCCCCC(=O)O)O","[M-H]-","0","C18H36O3","1.75180560332581","0.00980249777448753","-5.0248006713329","0","0","0.0605342649366911","-3.34743361209594","-1.34934618759759","",";64.4571762084961,7040.13330078125;83.1158447265625,6491.17138671875;88.0479202270508,4295.4208984375;138.276138305664,7029.06396484375;139.111770629883,24879.994140625;141.127548217773,127805.8984375;142.130569458008,12776.296875;149.429550170898,7081.78857421875;155.143310546875,26724.98828125;162.503082275391,7672.24365234375;185.118576049805,6916.54150390625;198.435775756836,7891.95068359375;239.291229248047,6780.6748046875;253.254333496094,83322.1796875;254.256286621094,12034.1591796875;281.248168945312,91250.09375"
309.280771891276,6.43045,1233244.5,1219229.375,520688.90625,1739718.875,1412868,1332451.5,7272522,7518474.5,11887276,1923059.125,956277.6875,912666.1875,778025,834368,910330.9375,1052676.375,1265300.625,1214063.625,9,"3380",309.280771891276,"CCCCCCCCC=CCCCCCCCC(=O)OCC","[M-H]-","0","C20H38O2","2.83364294108765","0.00981998250240709","-5.2620062621272","-0.5","0","0","0","0","",";50.3922119140625,2397.75439453125;58.4072570800781,2319.89672851562;74.0031661987305,2426.72631835938;122.76522064209,2683.80004882812;185.451156616211,2968.15283203125;238.041763305664,3064.609375"
375.290954589844,4.69773333333333,100,100,100,100,100,100,743558.4375,789725.5625,687264.8125,100,100,100,100,100,100,100,100,100,8,"4066",375.290954589844,"CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C","[M-H]-","0","C24H40O3","1.31761727192284","0.00937983123125107","-4.18364064501351","0","0","0","-8.165389191139","-3.98174854612549","",";107.702354431152,2187.65625;248.512252807617,2176.23681640625"
